order_id,date,region,category,product,sales_rep,units,unit_price,revenue,returned
ORD-00030,2024-01-01,South,Furniture,Chair,Novak,8,257.23,2057.84,False
ORD-00162,2024-01-02,East,Grocery,Coffee,Brennan,1,16.2,16.2,False
ORD-00187,2024-01-03,South,Electronics,Laptop,Ibrahim,2,1100.34,2200.68,False
ORD-00296,2024-01-03,East,Grocery,Olive Oil,Chen,9,21.86,196.74,False
ORD-00161,2024-01-03,South,Electronics,Headphones,Brennan,6,180.98,1085.88,False
ORD-00019,2024-01-03,South,Apparel,Sneakers,Novak,10,98.81,988.1,False
ORD-00098,2024-01-05,South,Furniture,Chair,Alvarez,10,266.35,2663.5,False
ORD-00384,2024-01-07,East,Electronics,Headphones,Brennan,8,178.26,1426.08,False
ORD-00328,2024-01-07,North,Grocery,Coffee,Novak,10,18.88,188.8,False
ORD-00060,2024-01-07,North,Apparel,Sneakers,Novak,5,95.76,478.8,False
ORD-00184,2024-01-08,North,Furniture,Desk,Chen,5,481.23,2406.15,False
ORD-00039,2024-01-09,North,Grocery,Olive Oil,Novak,5,20.35,101.75,False
ORD-00258,2024-01-09,North,Apparel,Jacket,Ibrahim,8,125.1,1000.8,False
ORD-00381,2024-01-09,South,Electronics,Monitor,Novak,5,300.04,1500.2,False
ORD-00314,2024-01-10,South,Apparel,T-Shirt,Alvarez,10,25.45,254.5,False
ORD-00111,2024-01-10,East,Apparel,Sneakers,Ibrahim,11,92.42,1016.62,False
ORD-00037,2024-01-11,East,Furniture,Chair,Novak,10,241.79,2417.9,False
ORD-00347,2024-01-11,West,Grocery,Coffee,Novak,9,17.94,161.46,True
ORD-00128,2024-01-12,South,Furniture,Chair,Ibrahim,1,259.81,259.81,False
ORD-00191,2024-01-13,East,Electronics,Laptop,Alvarez,1,1320.0,1320.0,False
ORD-00207,2024-01-13,North,Grocery,Coffee,Chen,2,18.32,36.64,False
ORD-00390,2024-01-13,West,Apparel,Sneakers,Chen,10,94.12,941.2,False
ORD-00268,2024-01-13,North,Electronics,Monitor,Chen,5,296.42,1482.1,False
ORD-00154,2024-01-13,North,Apparel,T-Shirt,Chen,6,25.97,155.82,False
ORD-00144,2024-01-14,West,Grocery,Olive Oil,Novak,8,23.62,188.96,False
ORD-00170,2024-01-14,East,Grocery,Olive Oil,Novak,3,20.78,62.34,False
ORD-00190,2024-01-15,North,Electronics,Monitor,Alvarez,5,307.1,1535.5,False
ORD-00008,2024-01-15,North,Grocery,Olive Oil,Novak,9,22.99,206.91,False
ORD-00120,2024-01-15,West,Grocery,Olive Oil,Novak,8,19.8,158.4,False
ORD-00139,2024-01-15,North,Furniture,Bookshelf,Chen,4,142.85,571.4,False
ORD-00035,2024-01-15,North,Apparel,T-Shirt,Novak,2,24.94,49.88,True
ORD-00066,2024-01-16,North,Electronics,Headphones,Alvarez,9,182.99,1646.91,False
ORD-00031,2024-01-17,East,Furniture,Desk,Chen,4,442.14,1768.56,False
ORD-00005,2024-01-17,East,Furniture,Chair,Alvarez,2,260.12,520.24,False
ORD-00378,2024-01-17,West,Furniture,Chair,Ibrahim,1,267.68,267.68,False
ORD-00376,2024-01-19,South,Grocery,Granola,Alvarez,4,8.94,35.76,False
ORD-00248,2024-01-19,West,Apparel,Sneakers,Dubois,7,96.81,677.67,False
ORD-00242,2024-01-20,North,Electronics,Headphones,Ibrahim,1,190.89,190.89,False
ORD-00056,2024-01-22,North,Electronics,Headphones,Brennan,6,170.15,1020.9,False
ORD-00288,2024-01-22,South,Furniture,Bookshelf,Dubois,3,146.02,438.06,False
ORD-00097,2024-01-23,East,Electronics,Laptop,Ibrahim,10,1183.58,11835.8,False
ORD-00146,2024-01-23,North,Grocery,Granola,Ibrahim,3,8.95,26.85,False
ORD-00318,2024-01-24,East,Furniture,Desk,Chen,4,405.0,1620.0,True
ORD-00366,2024-01-24,West,Furniture,Desk,Chen,8,412.34,3298.72,False
ORD-00372,2024-01-24,East,Electronics,Monitor,Brennan,1,305.67,305.67,False
ORD-00052,2024-01-24,North,Apparel,T-Shirt,Dubois,11,23.33,256.63,False
ORD-00224,2024-01-25,South,Apparel,T-Shirt,Dubois,9,22.9,206.1,False
ORD-00010,2024-01-25,West,Furniture,Desk,Novak,11,446.19,4908.09,False
ORD-00352,2024-01-26,East,Electronics,Laptop,Novak,2,1222.03,2444.06,False
ORD-00280,2024-01-26,West,Grocery,Olive Oil,Ibrahim,1,21.61,21.61,False
ORD-00310,2024-01-26,South,Grocery,Coffee,Alvarez,6,18.73,112.38,False
ORD-00036,2024-01-26,North,Electronics,Headphones,Novak,4,181.13,724.52,False
ORD-00360,2024-01-27,South,Apparel,Jacket,Ibrahim,11,127.42,1401.62,False
ORD-00095,2024-01-27,North,Furniture,Bookshelf,Ibrahim,1,136.32,136.32,False
ORD-00241,2024-01-27,North,Furniture,Chair,Alvarez,10,252.89,2528.9,False
ORD-00188,2024-01-28,South,Electronics,Headphones,Novak,4,164.68,658.72,False
ORD-00063,2024-01-28,East,Apparel,T-Shirt,Ibrahim,9,24.02,216.18,False
ORD-00271,2024-01-29,South,Apparel,T-Shirt,Dubois,10,24.02,240.2,False
ORD-00373,2024-01-30,North,Grocery,Granola,Brennan,5,9.29,46.45,False
ORD-00300,2024-01-30,North,Furniture,Desk,Dubois,2,495.0,990.0,False
ORD-00093,2024-01-31,South,Furniture,Bookshelf,Novak,5,147.4,737.0,False
ORD-00218,2024-01-31,South,Apparel,Jacket,Ibrahim,8,137.25,1098.0,False
ORD-00308,2024-01-31,North,Furniture,Desk,Dubois,3,422.96,1268.88,False
ORD-00239,2024-02-01,West,Apparel,Sneakers,Alvarez,10,96.14,961.4,False
ORD-00270,2024-02-01,East,Grocery,Granola,Dubois,3,8.9,26.7,False
ORD-00252,2024-02-01,South,Furniture,Chair,Novak,1,247.27,247.27,False
ORD-00126,2024-02-01,North,Electronics,Headphones,Alvarez,2,165.19,330.38,False
ORD-00089,2024-02-01,East,Furniture,Chair,Brennan,5,258.02,1290.1,False
ORD-00189,2024-02-02,North,Electronics,Monitor,Ibrahim,2,338.84,677.68,False
ORD-00125,2024-02-03,South,Apparel,T-Shirt,Novak,11,23.27,255.97,False
ORD-00255,2024-02-03,West,Furniture,Desk,Alvarez,2,480.46,960.92,False
ORD-00217,2024-02-03,East,Grocery,Coffee,Alvarez,1,16.97,16.97,False
ORD-00027,2024-02-03,North,Furniture,Desk,Ibrahim,6,452.03,2712.18,True
ORD-00012,2024-02-03,South,Electronics,Monitor,Novak,10,320.47,3204.7,False
ORD-00262,2024-02-05,North,Apparel,Jacket,Ibrahim,5,134.43,672.15,False
ORD-00067,2024-02-05,North,Furniture,Chair,Alvarez,8,273.77,2190.16,False
ORD-00311,2024-02-05,North,Furniture,Bookshelf,Brennan,10,154.0,1540.0,False
ORD-00369,2024-02-05,East,Grocery,Coffee,Alvarez,2,17.62,35.24,False
ORD-00087,2024-02-06,North,Apparel,Jacket,Chen,5,134.72,673.6,False
ORD-00212,2024-02-06,North,Furniture,Chair,Brennan,4,266.35,1065.4,False
ORD-00104,2024-02-07,West,Furniture,Chair,Alvarez,3,251.05,753.15,False
ORD-00042,2024-02-08,South,Grocery,Olive Oil,Ibrahim,5,21.06,105.3,False
ORD-00371,2024-02-08,North,Electronics,Monitor,Novak,1,312.59,312.59,True
ORD-00341,2024-02-09,South,Furniture,Chair,Chen,7,251.17,1758.19,False
ORD-00316,2024-02-09,West,Grocery,Coffee,Chen,10,17.98,179.8,False
ORD-00335,2024-02-09,West,Grocery,Olive Oil,Brennan,9,21.8,196.2,False
ORD-00132,2024-02-09,North,Apparel,Sneakers,Alvarez,4,90.49,361.96,False
ORD-00122,2024-02-09,South,Apparel,Sneakers,Ibrahim,2,86.91,173.82,False
ORD-00103,2024-02-11,West,Furniture,Bookshelf,Ibrahim,10,136.84,1368.4,False
ORD-00043,2024-02-11,East,Furniture,Chair,Dubois,11,251.81,2769.91,False
ORD-00321,2024-02-11,East,Grocery,Granola,Brennan,2,8.76,17.52,False
ORD-00165,2024-02-12,North,Apparel,Jacket,Chen,5,136.8,684.0,False
ORD-00193,2024-02-12,East,Electronics,Laptop,Ibrahim,6,1153.89,6923.34,False
ORD-00305,2024-02-14,North,Apparel,Sneakers,Alvarez,6,104.5,627.0,False
ORD-00034,2024-02-14,East,Electronics,Monitor,Novak,4,313.0,1252.0,False
ORD-00295,2024-02-15,South,Apparel,T-Shirt,Alvarez,8,27.5,220.0,False
ORD-00250,2024-02-15,East,Furniture,Chair,Dubois,11,286.0,3146.0,False
ORD-00334,2024-02-16,East,Electronics,Laptop,Alvarez,6,1208.92,7253.52,False
ORD-00350,2024-02-16,South,Furniture,Bookshelf,Ibrahim,2,139.27,278.54,False
ORD-00329,2024-02-17,East,Electronics,Laptop,Chen,11,1182.64,13009.04,False
ORD-00291,2024-02-17,South,Electronics,Laptop,Alvarez,6,1216.78,7300.68,False
ORD-00044,2024-02-18,North,Grocery,Granola,Alvarez,5,9.6,48.0,True
ORD-00048,2024-02-18,North,Furniture,Bookshelf,Novak,8,149.06,1192.48,False
ORD-00172,2024-02-18,West,Apparel,Sneakers,Novak,3,104.5,313.5,False
ORD-00138,2024-02-19,East,Furniture,Chair,Chen,8,247.78,1982.24,False
ORD-00124,2024-02-19,North,Furniture,Bookshelf,Chen,7,136.53,955.71,False
ORD-00013,2024-02-19,West,Electronics,Headphones,Brennan,2,162.0,324.0,False
ORD-00232,2024-02-19,West,Apparel,Sneakers,Dubois,4,88.92,355.68,False
ORD-00068,2024-02-19,East,Electronics,Headphones,Novak,10,170.95,1709.5,False
ORD-00108,2024-02-20,West,Apparel,T-Shirt,Alvarez,2,23.41,46.82,False
ORD-00020,2024-02-20,South,Grocery,Granola,Novak,9,9.01,81.09,False
ORD-00326,2024-02-21,East,Electronics,Headphones,Ibrahim,8,195.23,1561.84,False
ORD-00312,2024-02-21,South,Furniture,Desk,Novak,3,431.2,1293.6,False
ORD-00116,2024-02-22,North,Apparel,Sneakers,Dubois,6,92.66,555.96,False
ORD-00173,2024-02-22,West,Apparel,T-Shirt,Alvarez,5,23.76,118.8,False
ORD-00082,2024-02-23,East,Grocery,Olive Oil,Alvarez,4,22.25,89.0,False
ORD-00355,2024-02-24,South,Electronics,Monitor,Brennan,8,352.0,2816.0,False
ORD-00118,2024-02-25,West,Electronics,Monitor,Ibrahim,11,310.11,3411.21,False
ORD-00014,2024-02-25,South,Furniture,Chair,Brennan,8,239.12,1912.96,False
ORD-00292,2024-02-26,East,Electronics,Headphones,Chen,4,182.44,729.76,False
ORD-00074,2024-02-26,West,Apparel,Sneakers,Novak,5,90.23,451.15,False
ORD-00346,2024-02-26,South,Grocery,Granola,Alvarez,9,9.24,83.16,False
ORD-00053,2024-02-27,North,Electronics,Monitor,Novak,5,303.15,1515.75,False
ORD-00229,2024-02-27,West,Grocery,Olive Oil,Ibrahim,5,19.8,99.0,False
ORD-00182,2024-02-28,East,Grocery,Olive Oil,Dubois,4,23.46,93.84,False
ORD-00200,2024-02-28,North,Furniture,Desk,Novak,8,436.68,3493.44,False
ORD-00099,2024-02-29,East,Electronics,Headphones,Dubois,7,166.27,1163.89,False
ORD-00260,2024-03-01,East,Electronics,Laptop,Brennan,1,1201.02,1201.02,False
ORD-00380,2024-03-01,North,Grocery,Olive Oil,Chen,4,21.81,87.24,False
ORD-00330,2024-03-01,North,Electronics,Laptop,Chen,9,1195.5,10759.5,False
ORD-00006,2024-03-02,West,Grocery,Coffee,Brennan,9,16.74,150.66,False
ORD-00367,2024-03-03,North,Furniture,Desk,Ibrahim,10,453.71,4537.1,False
ORD-00387,2024-03-04,North,Grocery,Granola,Chen,4,8.16,32.64,False
ORD-00153,2024-03-04,West,Apparel,T-Shirt,Dubois,1,23.03,23.03,False
ORD-00059,2024-03-04,West,Grocery,Olive Oil,Ibrahim,1,21.01,21.01,False
ORD-00282,2024-03-05,North,Furniture,Bookshelf,Chen,3,148.57,445.71,False
ORD-00133,2024-03-05,West,Furniture,Chair,Chen,8,245.64,1965.12,False
ORD-00029,2024-03-05,North,Apparel,Jacket,Dubois,8,117.0,936.0,False
ORD-00322,2024-03-05,North,Electronics,Headphones,Brennan,10,165.54,1655.4,False
ORD-00077,2024-03-07,East,Grocery,Coffee,Chen,5,17.56,87.8,False
ORD-00166,2024-03-08,South,Furniture,Chair,Chen,3,234.0,702.0,False
ORD-00234,2024-03-08,North,Grocery,Coffee,Chen,7,17.92,125.44,False
ORD-00025,2024-03-09,East,Electronics,Monitor,Chen,7,328.05,2296.35,False
ORD-00090,2024-03-09,North,Electronics,Laptop,Dubois,3,1195.04,3585.12,False
ORD-00249,2024-03-10,West,Grocery,Coffee,Ibrahim,8,18.12,144.96,False
